page_id,access_frequency,last_access_time_ns,read_count,write_count,inter_access_time_ns,access_type,page_fault
34094038552,1,51170363337394,0,1,0,1,0
34094038531,1,51170363537378,0,1,0,1,0
34094038518,1,51170363610083,0,1,0,1,0
34094038545,1,51170363683351,0,1,0,1,0
23099900676,1,51170364106768,1,0,0,0,0
23099900677,1,51170364111847,0,1,0,1,0
34094038963,1,51170364125727,0,1,0,1,0
23099900318,1,51170364144054,1,0,0,0,0
23099900319,1,51170364149087,0,1,0,1,0
23099900689,1,51170364152158,1,0,0,0,0
23099893763,1,51170364165248,1,0,0,0,0
34094039019,1,51170364170840,0,1,0,1,0
23099900316,1,51170364178501,1,0,0,0,0
34094040199,1,51170364185896,0,1,0,1,0
23099900021,1,51170364190183,1,0,0,0,0
34094038534,1,51170364193562,0,1,0,1,0
23099900102,1,51170364197307,1,0,0,0,0
34094038036,1,51170364210866,0,1,0,1,0
23099900237,1,51170364216292,1,0,0,0,0
23099900447,1,51170364218937,1,0,0,0,0
23099900448,1,51170364221372,1,0,0,0,0
23099902551,1,51170364223866,1,0,0,0,0
34094068705,1,51170364227618,0,1,0,1,0
34094038556,1,51170364267041,0,1,0,1,0
23099900338,1,51170364288352,1,0,0,0,0
34094038560,1,51170364292521,0,1,0,1,1
34094038035,1,51170364308745,0,1,0,1,0
34094006272,1,51170364368127,0,1,0,1,0
34094038537,1,51170364384896,0,1,0,1,0
34094038034,1,51170364418735,0,1,0,1,0
23099893655,1,51170364477744,1,0,0,0,0
34094041641,1,51170364492033,1,0,0,0,0
23099900658,1,51170364567841,1,0,0,0,0
34094038136,3,51170368462233,1,2,0,0,0
34094038137,1,51170364616430,1,0,0,0,0
34094006273,1,51170364628601,0,1,0,1,0
23099900250,1,51170364646775,0,1,0,1,1
23099900484,1,51170364655195,0,1,0,1,0
23099900257,1,51170364662543,0,1,0,1,0
23099900479,1,51170364676196,1,0,0,0,0
23099900480,1,51170364683124,1,0,0,0,1
23099900323,1,51170364694754,1,0,0,0,0
23099900322,1,51170364703544,0,1,0,1,0
23099900388,1,51170364709241,1,0,0,0,0
34094038033,1,51170364716029,0,1,0,1,0
23099901351,1,51170364725393,1,0,0,0,0
23099900176,1,51170364735975,1,0,0,0,0
23099900177,1,51170364742042,1,0,0,0,0
23099900377,1,51170364753188,1,0,0,0,0
23099900378,1,51170364758838,1,0,0,0,0
23099900379,1,51170364765556,0,1,0,1,0
23099900380,1,51170364774186,1,0,0,0,1
23099901223,1,51170364793648,0,1,0,1,0
34094038525,1,51170364807841,0,1,0,1,0
23099900381,1,51170364824791,1,0,0,0,0
34094045198,1,51170364834328,1,0,0,0,0
23099900110,1,51170364856174,1,0,0,0,1
34094038032,1,51170364876290,0,1,0,1,0
34094006274,1,51170364901346,0,1,0,1,0
34094038381,1,51170364955745,1,0,0,0,0
34094042456,1,51170364974507,0,1,0,1,0
23099900376,1,51170365023210,1,0,0,0,0
34094038521,1,51170365043490,0,1,0,1,0
23099901024,1,51170365145975,0,1,0,1,0
23099900326,1,51170365164720,0,1,0,1,0
23099900254,1,51170365181663,1,0,0,0,0
23099900384,1,51170365190229,1,0,0,0,0
23099900005,1,51170365218445,1,0,0,0,0
23099893636,1,51170365225016,1,0,0,0,0
34094039824,1,51170365269501,1,0,0,0,0
34094039827,1,51170365275701,0,1,0,1,0
34094038832,1,51170365334729,1,0,0,0,0
34094038833,1,51170365341003,1,0,0,0,0
23099900324,1,51170365358243,0,1,0,1,0
23099900387,1,51170365364437,1,0,0,0,0
23099900346,1,51170365381263,1,0,0,0,0
23099900347,1,51170365387340,1,0,0,0,0
34094006275,1,51170365620252,0,1,0,1,0
23099900309,1,51170365714401,0,1,0,1,0
34094050108,1,51170365848295,0,1,0,1,0
23099902467,1,51170366291049,1,0,0,0,0
34094041516,1,51170366304088,1,0,0,0,0
34094040256,1,51170366314710,1,0,0,0,0
34094042564,1,51170366321204,1,0,0,0,0
34094042523,1,51170366327194,1,0,0,0,0
23099902050,1,51170366339445,1,0,0,0,1
34094041419,1,51170366346844,1,0,0,0,0
34094042442,1,51170366353365,1,0,0,0,0
34094043676,1,51170366367347,1,0,0,0,0
34094045254,1,51170366374215,1,0,0,0,0
23099901409,1,51170366380292,1,0,0,0,0
34094041433,1,51170366394212,1,0,0,0,0
34094041456,1,51170366407387,1,0,0,0,0
34094041426,1,51170366413744,1,0,0,0,0
34094041424,1,51170366424734,1,0,0,0,0
34094041444,1,51170366431792,1,0,0,0,0
34094041429,1,51170366438636,1,0,0,0,0
34094041428,1,51170366444527,1,0,0,0,0
